Timestamp,CONSENT,Time Start,Gender,State / Federal Territory,Which module are you currently enrolled in?,AI usage frequency,AI used,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
4/22/2026 13:15,"Yes, I consent to participate in this study.",1:12:00 AM,Female,Sarawak,Sains Hayat,Rarely,chat gpt deep seak,4,3,4,4,4,4,4,2,1,1,5,3,4,4,4,4,3,4,4,4,2,2,2,4,4,4,4,4,2,5
4/22/2026 13:15,"Yes, I consent to participate in this study.",1:06:00 PM,Male,Sarawak,Sains Hayat,Often,ChatGPT and Gemini ,4,4,4,2,4,4,4,3,3,3,4,3,2,4,4,4,2,2,2,2,2,2,2,3,4,3,4,4,4,4
4/22/2026 13:20,"Yes, I consent to participate in this study.",1:13:00 AM,Female,Sarawak,Sains Hayat,Sometimes,Google ,4,3,3,2,3,4,4,3,3,3,4,4,4,4,4,4,2,3,2,3,4,2,2,5,5,5,5,5,5,5
4/22/2026 13:26,"Yes, I consent to participate in this study.",12:23:00 AM,Male,Sarawak,Sains Hayat,Sometimes,Chat GPT,4,4,4,4,4,4,3,4,3,4,3,2,4,3,4,3,4,5,4,4,3,3,2,5,4,5,4,3,3,4
4/22/2026 13:30,"Yes, I consent to participate in this study.",1:21:00 AM,Male,Sarawak,Sains Hayat,Often,Ai problem solving feature to decode and analyse the question for clarifications,4,4,4,5,4,3,2,2,3,2,5,4,4,3,3,4,4,5,4,4,3,2,4,5,5,4,4,3,4,5
4/22/2026 13:39,"Yes, I consent to participate in this study.",1:35:00 PM,Female,Sarawak,Sains Hayat,Very Often,Gemini?ChatGPT?Deepseek,4,4,4,5,5,3,4,4,4,5,4,3,3,4,3,4,4,3,3,3,2,2,4,4,5,5,4,4,3,4
4/22/2026 13:43,"Yes, I consent to participate in this study.",1:40:00 PM,Female,Sarawak,Sains Hayat,Often,"ChatGPT, deepseek, google lens",4,4,5,5,5,5,3,3,3,2,5,5,5,5,5,5,5,5,5,5,2,2,2,4,4,4,4,4,3,4
4/22/2026 13:52,"Yes, I consent to participate in this study.",1:50:00 PM,Female,Sarawak,Sains Hayat,Often,Google lens,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,1,1,2,1
4/22/2026 13:53,"Yes, I consent to participate in this study.",1:48:00 PM,Male,Sarawak,Sains Hayat,Often,GPT,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,4,1,1,1,1,1,1,1
4/22/2026 13:59,"Yes, I consent to participate in this study.",1:53:00 PM,Female,Sarawak,Sains Hayat,Often,asking for specific jalan kerja,3,5,5,5,5,3,5,5,4,3,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5
